"sub","POA","token","syll_dur","v_dur","vot","Av","Ahi","max23","HiDiff","F23Diff"
21,4,151,0.092,0.082,0.01,47.5,28.6,27.8,18.9,19.7
14,4,6,0.3166,0.3082,0.0084,39.4,11.7,19.6,27.7,19.8
16,4,14,0.234,0.214,0.02,32.2,19.8,3.8,12.4,19.8
16,4,6,0.2753,0.2536,0.0217,33.4,19.8,8.7,13.6,19.8
13,4,158,0.2414,0.2294,0.012,55,27.4,35.1,27.6,19.9
13,3,118,0.2785,0.2492,0.0293,58.7,20.8,38.8,37.9,19.9
17,3,107,0.234,0.203,0.031,52.5,17.6,32.6,34.9,19.9
20,4,166,0.116,0.1,0.016,37.6,22,17.7,15.6,19.9
21,4,124,0.281,0.269,0.012,54.3,29.9,34.4,24.4,19.9
15,3,96,0.267,0.235,0.032,44.2,14,24.2,30.2,20
16,4,20,0.1937,0.1736,0.0201,25.9,20,3.3,5.9,20
19,3,97,0.195,0.18,0.015,55.1,21.2,35.1,33.9,20
20,3,103,0.203,0.178,0.025,36.7,5.1,16.7,31.6,20
22,3,75,0.311,0.277,0.034,52.7,24.3,32.7,28.4,20
15,3,114,0.13,0.116,0.014,43.3,3.1,23.2,40.2,20.1
19,2,63,0.206,0.187,0.019,53.4,24.4,33.3,29,20.1
19,3,101,0.207,0.187,0.02,53.3,24.1,33.2,29.2,20.1
20,3,107,0.217,0.193,0.024,41,8.4,20.9,32.6,20.1
17,3,100,0.338,0.295,0.043,45.4,20.9,25,24.5,20.4
18,3,70,0.301,0.278,0.023,56.4,-1.4,36,57.8,20.4
21,3,107,0.122,0.102,0.02,50.4,22,30,28.4,20.4
17,3,111,0.228,0.192,0.036,45,20.9,24.5,24.1,20.5
19,2,37,0.415,0.365,0.05,46.1,15.1,25.6,31,20.5
19,3,74,0.415,0.365,0.05,46.1,15.5,25.5,30.6,20.6
19,4,105,0.418,0.368,0.05,46,15.1,25.4,30.9,20.6
20,3,114,0.226,0.201,0.025,35.1,7.2,14.5,27.9,20.6
21,4,128,0.242,0.23,0.012,53.3,32.2,32.7,21.1,20.6
13,3,130,0.1407,0.1103,0.0304,53.4,13.1,32.7,40.3,20.7
19,2,59,0.191,0.178,0.013,55.3,21.5,34.6,33.8,20.7
20,2,50,0.446,0.417,0.029,30.1,8,9.4,22.1,20.7
13,3,132,0.1434,0.1143,0.0291,52.9,12.4,32.1,40.5,20.8
14,3,10,0.3339,0.2981,0.0358,46,10.5,25.2,35.5,20.8
22,3,80,0.284,0.255,0.029,53.6,15.1,32.8,38.5,20.8
15,3,107,0.243,0.226,0.017,46.2,11.9,25.3,34.3,20.9
15,3,99,0.248,0.228,0.02,47.5,8,26.6,39.5,20.9
20,2,57,0.444,0.409,0.035,29.4,3.6,8.4,25.8,21
13,4,141,0.2522,0.2401,0.0121,49.1,-0.2,28,49.3,21.1
17,3,93,0.313,0.273,0.04,47.9,23.7,26.8,24.2,21.1
20,4,170,0.094,0.073,0.021,38.9,14.2,17.8,24.7,21.1
20,3,109,0.218,0.196,0.022,37.4,7,16.3,30.4,21.1
22,3,82,0.255,0.23,0.025,48.7,9.4,27.6,39.3,21.1
13,4,149,0.2772,0.2668,0.0104,57,26.7,35.8,30.3,21.2
13,3,133,0.1549,0.1203,0.0346,52.8,12.5,31.6,40.3,21.2
17,4,152,0.189,0.17,0.019,52.1,9.6,30.9,42.5,21.2
20,1,3,0.477,0.46,0.017,30.3,1.2,9.1,29.1,21.2
21,4,157,0.107,0.095,0.012,47,24.8,25.8,22.2,21.2
20,3,94,0.417,0.371,0.046,35.9,5.3,14.6,30.6,21.3
21,4,125,0.254,0.246,0.008,56,37.4,34.7,18.6,21.3
21,3,80,0.236,0.2,0.036,47.5,19.5,26.2,28,21.3
17,4,145,0.253,0.238,0.015,55.2,11.7,33.8,43.5,21.4
19,3,75,0.405,0.355,0.05,47.5,16,26.1,31.5,21.4
